,spearman,p_value,change,slope,spearman*abs-change
n00b,-0.2989073473626059,0.009187898695863488,-0.00039676450347662776,-5.361682479413889e-06,-0.00011859582526184023
n2,0.2963435255311397,0.009341017567036106,1.603284966654163e-05,2.1377132888722176e-07,4.751231194493704e-06
naw,0.07180909465525875,0.5321227672504117,-0.00013755521164087448,-1.7864313200113569e-06,9.877715213043707e-06
nb,-0.17258096855254926,0.10993968861389573,-0.0007186486689591842,-8.35637987161842e-06,-0.00012402508333797635
newb,-0.034572138128495064,0.7491397578532704,-0.00047037581982189915,-5.406618618642519e-06,-1.6261897815186805e-05
ng,0.21993043793879163,0.05626500235797118,-0.00016886985289499593,-2.251598038599946e-06,3.7139620701855777e-05
nib,0.3127058733389118,0.006675975536683103,6.58784112629544e-05,9.02443989903485e-07,2.060056612816216e-05
nic,-0.16403969716606276,0.16854019003938137,-0.00015728402420045316,-2.2152679464852556e-06,-2.580082369890202e-05
nip,-0.011967927562361027,0.9166285538246288,-0.0003706441023233794,-4.7518474656843515e-06,-4.4358417680225335e-06
nite,-0.05771143387127945,0.6065488824742562,-0.00020275750202757503,-2.5031790373774693e-06,-1.1701426170170206e-05
nk,-0.06894708571854621,0.5706179431796328,0.00024277962274203403,3.518545257130928e-06,-1.6738947459911333e-05
noes,-0.1035895345864704,0.3543747244067075,-0.00030568061083279733,-3.773834701639473e-06,-3.1665312208277456e-05
norwich,-0.11490649534141537,0.32626647447545853,-0.000191651901754105,-2.589890564244662e-06,-2.202204835608146e-05
np,0.04994183131936004,0.6518831246130882,-0.00018658040293155747,-2.2479566618259936e-06,9.318167010706073e-06
ns,0.2699620070047756,0.01612448055528544,-1.771190088106065e-05,-2.2707565232129037e-07,4.7815403097207855e-06
nsfw,-0.1040137989276427,0.337685954116416,-0.0021646132685346478,-2.5169921727147067e-05,-0.0002251496492694703
nu,0.0003932141570591649,0.9972202382287474,-0.00017368473535815763,-2.1710591919769705e-06,6.829529680790208e-08
nuff,-0.35216364659003935,0.0019449615839238368,-0.00038774862207532164,-5.239846244261103e-06,-0.0001365509687103083
nvm,0.11979451069412697,0.2961696518876348,-0.00018499699696133067,-2.4025584020952037e-06,2.2161624730865503e-05
oy,-0.03219042092807809,0.7810725121848233,-7.958048863975939e-05,-1.047111692628413e-06,-2.5617294269759914e-06
obv,-0.03948327430909839,0.7401519754594112,9.010998391350856e-05,1.2515275543542855e-06,-3.557837212845502e-06
